,pnl,exit_time,entry_time,exit_reason,window_start,symbol
6,0.023974999999999805,2025-10-01 08:00:00,2025-09-30 10:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
7,-0.1508499999999999,2025-11-04 18:00:00,2025-10-07 08:00:00,stop_loss,2025-08-16 20:00:00,BTC/USDT
8,0.023974999999999917,2025-11-05 12:00:00,2025-11-04 18:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
9,0.023974999999999882,2025-11-07 19:00:00,2025-11-06 17:00:00,take_profit,2025-08-16 20:00:00,BTC/USDT
0,0.023974999999999882,2025-11-20 04:00:00,2025-11-16 16:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
1,0.023974999999999882,2025-11-23 02:00:00,2025-11-20 17:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
2,0.023974999999999882,2025-12-02 14:00:00,2025-12-01 00:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
3,0.023974999999999934,2025-12-08 09:00:00,2025-12-04 15:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
4,0.02397500000000004,2025-12-11 21:00:00,2025-12-11 01:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
5,0.023974999999999934,2025-12-17 15:00:00,2025-12-12 16:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
6,0.023974999999999805,2025-12-19 03:00:00,2025-12-18 20:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
7,0.023975000000000087,2025-12-22 12:00:00,2025-12-21 03:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
8,0.023974999999999882,2025-12-29 03:00:00,2025-12-22 20:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
9,0.023974999999999805,2026-01-02 10:00:00,2025-12-31 17:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
10,0.023975000000000055,2026-01-13 14:00:00,2026-01-06 17:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
11,-0.15085,2026-01-31 18:00:00,2026-01-15 21:00:00,stop_loss,2025-11-14 20:00:00,BTC/USDT
12,0.023975000000000055,2026-02-02 15:00:00,2026-01-31 18:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
13,-0.1508499999999999,2026-02-05 20:00:00,2026-02-03 15:00:00,stop_loss,2025-11-14 20:00:00,BTC/USDT
14,0.023975000000000003,2026-02-06 01:00:00,2026-02-05 20:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
15,0.023974999999999917,2026-02-09 17:00:00,2026-02-09 10:00:00,take_profit,2025-11-14 20:00:00,BTC/USDT
