,exit_time,pnl,symbol,window_start
88,2023-12-12,-0.02633735629535635,SOL/USDT,2023-11-22
57,2023-12-14,0.021341664702921315,ETH/USDT,2023-11-22
20,2023-12-14,0.0006684685576815895,BTC/USDT,2023-11-22
58,2024-01-13,-0.0058269964946995635,ETH/USDT,2023-12-22
21,2024-01-13,-0.08470603833888576,BTC/USDT,2023-12-22
59,2024-02-10,0.0026125511835063094,ETH/USDT,2024-01-21
22,2024-02-10,0.010072626658723728,BTC/USDT,2024-01-21
89,2024-02-14,0.04487816009938506,SOL/USDT,2024-01-21
23,2024-02-16,0.041106694281219325,BTC/USDT,2024-01-21
60,2024-02-17,0.04450114233301955,ETH/USDT,2024-01-21
90,2024-03-13,0.08192873652362696,SOL/USDT,2024-02-20
24,2024-03-16,-0.08834444814305002,BTC/USDT,2024-02-20
61,2024-03-16,-0.061530589570642856,ETH/USDT,2024-02-20
91,2024-03-17,0.13884873571673206,SOL/USDT,2024-02-20
25,2024-04-11,-0.01184675968865634,BTC/USDT,2024-03-21
26,2024-05-16,-0.017456688549710882,BTC/USDT,2024-04-20
62,2024-07-17,-0.030435790632698814,ETH/USDT,2024-06-19
27,2024-07-17,-0.012650669726188413,BTC/USDT,2024-06-19
28,2024-08-09,-0.016789990433764796,BTC/USDT,2024-07-19
63,2024-09-12,0.006212809582497054,ETH/USDT,2024-08-18
64,2024-10-08,0.0044633415516044305,ETH/USDT,2024-09-17
29,2024-10-16,0.02009305583563334,BTC/USDT,2024-09-17
65,2024-10-16,-0.01002538808077288,ETH/USDT,2024-09-17
92,2024-10-16,-0.0062280429506493765,SOL/USDT,2024-09-17
30,2024-11-07,0.0006953777871681046,BTC/USDT,2024-10-17
93,2024-11-09,0.06836203708407776,SOL/USDT,2024-10-17
66,2024-11-11,0.23644287826524701,ETH/USDT,2024-10-17
67,2024-11-14,-0.05992024967127695,ETH/USDT,2024-10-17
31,2024-11-14,0.08362871030225848,BTC/USDT,2024-10-17
94,2024-11-14,-0.006039376857865483,SOL/USDT,2024-10-17
32,2024-12-06,0.025847994132020838,BTC/USDT,2024-11-16
68,2024-12-06,0.05356509706156826,ETH/USDT,2024-11-16
33,2024-12-10,-0.010661671182434126,BTC/USDT,2024-11-16
34,2025-01-09,-0.04850020157297779,BTC/USDT,2024-12-16
95,2025-01-09,-0.06621794246691642,SOL/USDT,2024-12-16
35,2025-05-09,0.05832330607640659,BTC/USDT,2025-04-15
96,2025-05-10,0.07866121933048129,SOL/USDT,2025-04-15
69,2025-05-11,0.13596669490198746,ETH/USDT,2025-04-15
36,2025-05-13,0.010056943915541459,BTC/USDT,2025-04-15
70,2025-05-14,0.04289441981824195,ETH/USDT,2025-04-15
97,2025-05-14,0.010597142148078238,SOL/USDT,2025-04-15
71,2025-07-12,0.059867640615337336,ETH/USDT,2025-06-14
98,2025-07-12,-0.01673856161643955,SOL/USDT,2025-06-14
37,2025-07-12,0.052605516480032706,BTC/USDT,2025-06-14
38,2025-08-12,0.009118660111132569,BTC/USDT,2025-07-14
39,2025-09-11,0.010422546653534788,BTC/USDT,2025-08-13
72,2025-10-03,0.03499009321614786,ETH/USDT,2025-09-12
40,2025-10-04,0.02894478914791298,BTC/USDT,2025-09-12
41,2025-10-08,-0.004530363248911011,BTC/USDT,2025-09-12
73,2026-01-03,-0.002493726620446806,ETH/USDT,2025-12-11
42,2026-01-03,0.004157710778206045,BTC/USDT,2025-12-11
74,2026-01-08,-0.039646794423923874,ETH/USDT,2025-12-11
43,2026-01-09,-0.03727210012654831,BTC/USDT,2025-12-11
